Monthly token allowance | Subscription plan x served model
Default month = 4 weeks; Kimi monthly pool = 5× weekly; full utilization, all token types; APIs have no allowance
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate.
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                Monthly fee  Served model                Monthly tokens (B)  USD/MTok  Confidence
---  ----------------------------------  -----------  --------------------------  ------------------  --------  ----------
1    Step Plan Max (¥699)                CNY 699      Step 3.5 Flash              251.731             0.00041   medium
2    ChatGPT Pro 20x                     USD 200      GPT 5.6 Luna                150.222             0.00133   medium
3    Step Plan Max (¥699)                CNY 699      Step 3.7 Flash              124.756             0.00083   medium
4    Step Plan Pro (¥199)                CNY 199      Step 3.5 Flash              50.3461             0.00058   medium
5    Claude Max 20x (9/14+)              USD 200      Claude Sonnet 5             39.25               0.0051    medium
6    ChatGPT Pro 5x                      USD 100      GPT 5.6 Luna                37.556              0.00266   medium
7    Step Plan Pro (¥199)                CNY 199      Step 3.7 Flash              24.9513             0.00118   medium
8    ChatGPT Pro 20x                     USD 200      GPT 5.6 Terra               24.024              0.00833   medium
9    Ollama Max                          USD 100      DeepSeek V4 Flash           21.6372             0.00462   medium
10   Cursor Ultra (Standard)             USD 200      Composer 2.5                19.8926             0.01005   medium
11   Claude Max 5x (9/14+)               USD 100      Claude Sonnet 5             19.625              0.0051    low
12   GLM Coding Max (v3 ¥1078) Off-peak  CNY 1078     GLM 5.3 Flash               17.965              0.00885   high
13   GLM Coding Max (v2 ¥469) Off-peak   CNY 469      GLM 5.3 Flash               17.965              0.00385   high
14   Claude Max 20x (9/14+)              USD 200      Claude Opus 5               15.7                0.01274   medium
15   Claude Max 20x (9/14+)              USD 200      Claude Opus 4.8             15.7                0.01274   low
16   GLM Coding Max (v3 ¥1078) Midpoint  CNY 1078     GLM 5.3 Flash               13.473              0.0118    high
17   GLM Coding Max (v2 ¥469) Midpoint   CNY 469      GLM 5.3 Flash               13.473              0.00514   high
18   OpenCode Go                         USD 10       Muse Spark 1.3 Contributor  12.5                0.0008    medium
19   OpenCode Go                         USD 10       Muse Spark 1.2 Contributor  12.5                0.0008    medium
20   ChatGPT Pro 20x                     USD 200      GPT 5.6 Sol                 12.32               0.01623   high
21   Step Plan Plus (¥99)                CNY 99       Step 3.5 Flash              10.0692             0.00145   medium
22   MiniMax Token Plan Ultra (Global)   USD 132      MiniMax M3                  9.8                 0.01347   high
23   ChatGPT Pro 20x                     USD 200      GPT 5.5                     9.6096              0.02081   medium
24   GLM Coding Max (v3 ¥1078) Peak      CNY 1078     GLM 5.3 Flash               8.982               0.01771   high
25   GLM Coding Max (v2 ¥469) Peak       CNY 469      GLM 5.3 Flash               8.982               0.0077    high
26   OpenCode Go                         USD 10       MiMo V2.5                   8.9286              0.00112   medium
27   Ollama Max                          USD 100      GLM 5.3 Flash               8.7655              0.01141   medium
28   Claude Max 5x (9/14+)               USD 100      Claude Opus 5               7.85                0.01274   medium
29   Cursor Ultra                        USD 200      Grok 4.6                    7.737               0.02585   medium
30   Cursor Ultra                        USD 200      Grok 4.5                    7.737               0.02585   medium
31   GLM Coding Pro (v3 ¥538) Off-peak   CNY 538      GLM 5.3 Flash               7.699               0.01031   high
32   GLM Coding Pro (v2 ¥149) Off-peak   CNY 149      GLM 5.3 Flash               7.699               0.00285   high
33   ChatGPT Plus                        USD 20       GPT 5.6 Luna                7.511               0.00266   high
34   MiniMax Token Plan Ultra            CNY 469      MiniMax M3                  7.1                 0.00974   high
35   Cursor Ultra (Composer Fast)        USD 200      Composer 2.5                7.0587              0.02833   medium
36   Ollama Max                          USD 100      DeepSeek V4 Pro             7.0472              0.01419   medium
37   ChatGPT Pro 5x                      USD 100      GPT 5.6 Terra               6.006               0.01665   medium
38   GLM Coding Max (v3 ¥1078) Off-peak  CNY 1078     GLM 5.3                     5.926               0.02684   high
39   GLM Coding Max (v2 ¥469) Off-peak   CNY 469      GLM 5.3                     5.926               0.01168   high
40   GLM Coding Pro (v3 ¥538) Midpoint   CNY 538      GLM 5.3 Flash               5.774               0.01375   high
41   GLM Coding Pro (v2 ¥149) Midpoint   CNY 149      GLM 5.3 Flash               5.774               0.00381   high
42   Cursor Pro+ (Standard)              USD 60       Composer 2.5                5.3047              0.01131   low
43   MiniMax Token Plan Max (Global)     USD 55       MiniMax M3                  5.1                 0.01078   high
44   SuperGrok Heavy                     USD 300      Grok 4.6                    5.09                0.05894   medium
45   SuperGrok Heavy                     USD 300      Grok 4.5                    5.09                0.05894   medium
46   Step Plan Plus (¥99)                CNY 99       Step 3.7 Flash              4.9903              0.00293   medium
47   Command Code GOAT                   USD 10       DeepSeek V4.1 Flash         4.8485              0.00206   medium
48   Kimi CN CNY 699 †                   CNY 699      Kimi K2.7 Code              4.704               0.02192   medium
49   Command Code GOAT                   USD 10       MiMo V2.5                   4.4643              0.00224   medium
50   GLM Coding Max (v3 ¥1078) Midpoint  CNY 1078     GLM 5.3                     4.445               0.03578   high
51   GLM Coding Max (v2 ¥469) Midpoint   CNY 469      GLM 5.3                     4.445               0.01557   high
52   Kimi CN CNY 699 †                   CNY 699      Kimi K3                     4.353               0.02369   medium
53   Ollama Max                          USD 100      MiniMax M2.7                4.3384              0.02305   medium
54   Ollama Pro                          USD 20       DeepSeek V4 Flash           4.3274              0.00462   medium
55   Command Code GOAT                   USD 10       Muse Spark 1.3 Contributor  4.1667              0.0024    medium
56   Command Code GOAT                   USD 10       Muse Spark 1.2 Contributor  4.1667              0.0024    medium
57   Claude Pro                          USD 20       Claude Sonnet 5             3.97                0.00504   medium
58   GLM Coding Pro (v3 ¥538) Peak       CNY 538      GLM 5.3 Flash               3.85                0.02061   high
59   GLM Coding Pro (v2 ¥149) Peak       CNY 149      GLM 5.3 Flash               3.85                0.00571   high
60   OpenCode Go                         USD 10       LongCat 2.0                 3.6364              0.00275   medium
61   ChatGPT Pro 5x                      USD 100      GPT 5.6 Sol                 3.08                0.03247   medium
62   Cursor Ultra (Fast)                 USD 200      Grok 4.6                    3.074               0.06506   high
63   GLM Coding Max (v3 ¥1078) Peak      CNY 1078     GLM 5.3                     2.963               0.05367   high
64   GLM Coding Max (v2 ¥469) Peak       CNY 469      GLM 5.3                     2.963               0.02335   high
65   GLM Coding Pro (v3 ¥538) Off-peak   CNY 538      GLM 5.3                     2.54                0.03125   high
66   GLM Coding Pro (v2 ¥149) Off-peak   CNY 149      GLM 5.3                     2.54                0.00865   high
67   Step Plan Mini (¥49)                CNY 49       Step 3.5 Flash              2.5173              0.00287   medium
68   ChatGPT Pro 5x                      USD 100      GPT 5.5                     2.4024              0.04163   medium
69   Ollama Max                          USD 100      MiniMax M3                  2.1692              0.0461    medium
70   Cursor Pro+                         USD 60       Grok 4.6                    2.0632              0.02908   medium
71   SuperGrok Plus                      USD 100      Grok 4.6                    2.04                0.04902   medium
72   GLM Coding Pro (v3 ¥538) Midpoint   CNY 538      GLM 5.3                     1.905               0.04166   high
73   GLM Coding Pro (v2 ¥149) Midpoint   CNY 149      GLM 5.3                     1.905               0.01154   high
74   Cursor Pro+ (Composer Fast)         USD 60       Composer 2.5                1.8823              0.03188   low
75   OpenCode Go                         USD 10       DeepSeek V4.1 Flash         1.8182              0.0055    medium
76   MiniMax Token Plan Max              CNY 119      MiniMax M3                  1.8                 0.00975   high
77   Command Code GOAT                   USD 10       Hy3                         1.7873              0.0056    medium
78   Ollama Pro                          USD 20       GLM 5.3 Flash               1.7531              0.01141   medium
79   MiniMax Token Plan Plus (Global)    USD 22       MiniMax M3                  1.7                 0.01294   high
80   MiniMax Token Plan Plus (Global)    USD 22       MiniMax M2.7                1.7                 0.01294   medium
81   Claude Pro                          USD 20       Claude Opus 4.8             1.588               0.01259   medium
82   Kimi CN CNY 199 †                   CNY 199      Kimi K2.7 Code              1.568               0.01872   medium
83   OpenCode Go                         USD 10       Hy3                         1.532               0.00653   medium
84   OpenCode Go                         USD 10       Qwen3.8 Flash               1.4656              0.00682   medium
85   Kimi CN CNY 199 †                   CNY 199      Kimi K3                     1.451               0.02023   medium
86   Ollama Pro                          USD 20       DeepSeek V4 Pro             1.4094              0.01419   medium
87   Ollama Max                          USD 100      Kimi K2.7 Code              1.3657              0.07322   medium
88   Ollama Max                          USD 100      GLM 5.1                     1.3175              0.0759    medium
89   OpenCode Go                         USD 10       Omen Alpha                  1.3155              0.0076    medium
90   GLM Coding Lite (v3 ¥118) Off-peak  CNY 118      GLM 5.3 Flash               1.283               0.01357   high
91   GLM Coding Lite (v2 ¥49) Off-peak   CNY 49       GLM 5.3 Flash               1.283               0.00563   high
92   GLM Coding Pro (v3 ¥538) Peak       CNY 538      GLM 5.3                     1.27                0.06249   high
93   GLM Coding Pro (v2 ¥149) Peak       CNY 149      GLM 5.3                     1.27                0.01731   high
94   Command Code GOAT                   USD 10       MiMo V2.5 Pro               1.2573              0.00795   medium
95   Step Plan Mini (¥49)                CNY 49       Step 3.7 Flash              1.2476              0.00579   medium
96   Cursor Pro (Standard)               USD 20       Composer 2.5                1.2084              0.01655   medium
97   Claude Max 20x (9/14+)              USD 200      Claude Fable 5              1.2077              0.1656    low
98   Command Code GOAT                   USD 10       Qwen3.8 27B                 1.2048              0.0083    medium
99   ChatGPT Plus                        USD 20       GPT 5.6 Terra               1.2012              0.01665   medium
100  Command Code GOAT                   USD 10       GLM 5.3 Flash               1.1687              0.00856   medium
101  OpenCode Go                         USD 10       Qwen3.7 Plus                1.1278              0.00887   medium
102  Ollama Max                          USD 100      GLM 5.3                     1.0033              0.09967   medium
103  Ollama Max                          USD 100      GLM 5.2                     1.0033              0.09967   medium
104  Command Code GOAT                   USD 10       Qwen3.8 Flash               0.9669              0.01034   medium
105  GLM Coding Lite (v3 ¥118) Midpoint  CNY 118      GLM 5.3 Flash               0.962               0.0181    high
106  GLM Coding Lite (v2 ¥49) Midpoint   CNY 49       GLM 5.3 Flash               0.962               0.00751   high
107  OpenCode Go                         USD 10       MiMo V2.5 Pro               0.9415              0.01062   medium
108  Claude Max 5x (9/14+)               USD 100      Claude Fable 5              0.9235              0.10828   low
109  Command Code GOAT                   USD 10       Step 3.5 Flash              0.8811              0.01135   medium
110  OpenCode Go                         USD 10       MiniMax M3                  0.8677              0.01152   medium
111  OpenCode Go                         USD 10       MiniMax M2.7                0.8677              0.01152   medium
112  OpenCode Go                         USD 10       MiniMax M2.5                0.8677              0.01152   medium
113  Ollama Pro                          USD 20       MiniMax M2.7                0.8677              0.02305   medium
114  OpenCode Go                         USD 10       Qwen3.6 Plus                0.8571              0.01167   medium
115  Ollama Max                          USD 100      Kimi K3                     0.7326              0.1365    medium
116  Command Code GOAT                   USD 10       GPT 5.6 Luna                0.7143              0.014     medium
117  Command Code GOAT                   USD 10       MiniMax M3                  0.6797              0.01471   medium
118  GLM Coding Lite (v3 ¥118) Peak      CNY 118      GLM 5.3 Flash               0.642               0.02711   high
119  GLM Coding Lite (v2 ¥49) Peak       CNY 49       GLM 5.3 Flash               0.642               0.01126   high
120  ChatGPT Plus                        USD 20       GPT 5.6 Sol                 0.616               0.03247   medium
121  MiniMax Token Plan Plus             CNY 49       MiniMax M3                  0.6                 0.01205   high
122  MiniMax Token Plan Plus             CNY 49       MiniMax M2.7                0.6                 0.01205   medium
123  OpenCode Go                         USD 10       GPT 5.6 Luna                0.5357              0.01867   medium
124  SuperGrok                           USD 30       Grok 4.6                    0.509               0.05894   high
125  SuperGrok                           USD 30       Grok 4.5                    0.509               0.05894   medium
126  ChatGPT Plus                        USD 20       GPT 5.5                     0.4805              0.04162   medium
127  Cursor Pro                          USD 20       Grok 4.6                    0.47                0.04255   medium
128  Command Code GOAT                   USD 10       DeepSeek V4 Pro             0.4698              0.02129   medium
129  OpenCode Go                         USD 10       Hy4 Preview                 0.4436              0.02254   medium
130  OpenCode Go                         USD 10       GLM 5.3 Flash               0.4383              0.02282   medium
131  Ollama Pro                          USD 20       MiniMax M3                  0.4338              0.0461    medium
132  Cursor Pro (Composer Fast)          USD 20       Composer 2.5                0.4288              0.04664   medium
133  GLM Coding Lite (v3 ¥118) Off-peak  CNY 118      GLM 5.3                     0.423               0.04115   high
134  GLM Coding Lite (v2 ¥49) Off-peak   CNY 49       GLM 5.3                     0.423               0.01709   high
135  Command Code GOAT                   USD 10       Step 3.7 Flash              0.4226              0.02366   medium
136  Command Code GOAT                   USD 10       Qwen3.7 Plus                0.3579              0.02794   medium
137  OpenCode Go                         USD 10       DeepSeek V4 Pro             0.3524              0.02838   medium
138  GLM Coding Lite (v3 ¥118) Midpoint  CNY 118      GLM 5.3                     0.317               0.05491   high
