真实单价总览 · 订阅与 API 统一对比
美元/credits与API三段价统一按97.5%缓存 / 2.15%输入 / 0.35%输出折算；直接total-token实测不重算
同套餐各模型额度不可相加。Claude Max (9/14+)：2026-09-14起永久额度估算，非当前活动期上限。数据：adopted.csv。
颜色 = 套餐/API 提供方；置信度 [H] 高 / [M] 中 / [L] 低；编号为排序序号，同值依次列出，不代表模型能力排名。
† Kimi：¥199的K3点以K3-256K为主，约84%反推周池×5得14.51亿；K2.7纯样本11.9M/月0.76%得15.68亿；其余档按官方倍率推算。OpenCode Go按官方美元池和三段价套统一标准负载换算。
汇率：1 USD = 6.7787 CNY（2026-09-04，中国外汇交易中心中间价，新华社转载）；人民币月费 ÷ 汇率换算美元。
汇率来源：https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
序号  套餐                               价格/月   服务模型                    月额度(亿)  $/MTok   置信度
----  ---------------------------------  --------  --------------------------  ----------  -------  ------
1     Step Plan Max (¥699)               CNY 699   Step 3.5 Flash              2517.31     0.00041  medium
2     Step Plan Pro (¥199)               CNY 199   Step 3.5 Flash              503.461     0.00058  medium
3     OpenCode Go                        USD 10    Muse Spark 1.3 Contributor  125         0.0008   medium
4     OpenCode Go                        USD 10    Muse Spark 1.2 Contributor  125         0.0008   medium
5     Step Plan Max (¥699)               CNY 699   Step 3.7 Flash              1247.56     0.00083  medium
6     OpenCode Go                        USD 10    MiMo V2.5                   89.286      0.00112  medium
7     Step Plan Pro (¥199)               CNY 199   Step 3.7 Flash              249.513     0.00118  medium
8     ChatGPT Pro 20x                    USD 200   GPT 5.6 Luna                1502.22     0.00133  medium
9     Step Plan Plus (¥99)               CNY 99    Step 3.5 Flash              100.692     0.00145  medium
10    Command Code GOAT                  USD 10    DeepSeek V4.1 Flash         48.485      0.00206  medium
11    Command Code GOAT                  USD 10    MiMo V2.5                   44.643      0.00224  medium
12    Command Code GOAT                  USD 10    Muse Spark 1.3 Contributor  41.667      0.0024   medium
13    Command Code GOAT                  USD 10    Muse Spark 1.2 Contributor  41.667      0.0024   medium
14    ChatGPT Plus                       USD 20    GPT 5.6 Luna                75.11       0.00266  high
15    ChatGPT Pro 5x                     USD 100   GPT 5.6 Luna                375.56      0.00266  medium
16    OpenCode Go                        USD 10    LongCat 2.0                 36.364      0.00275  medium
17    GLM Coding Pro (v2 ¥149) 闲时      CNY 149   GLM 5.3 Flash               76.99       0.00285  high
18    Step Plan Mini (¥49)               CNY 49    Step 3.5 Flash              25.173      0.00287  medium
19    Step Plan Plus (¥99)               CNY 99    Step 3.7 Flash              49.903      0.00293  medium
20    GLM Coding Pro (v2 ¥149) 中间值    CNY 149   GLM 5.3 Flash               57.74       0.00381  high
21    GLM Coding Max (v2 ¥469) 闲时      CNY 469   GLM 5.3 Flash               179.65      0.00385  high
22    Ollama Pro                         USD 20    DeepSeek V4 Flash           43.274      0.00462  medium
23    Ollama Max                         USD 100   DeepSeek V4 Flash           216.372     0.00462  medium
24    Claude Pro                         USD 20    Claude Sonnet 5             39.7        0.00504  medium
25    Claude Max 20x (9/14+)             USD 200   Claude Sonnet 5             392.5       0.0051   medium
26    Claude Max 5x (9/14+)              USD 100   Claude Sonnet 5             196.25      0.0051   low
27    GLM Coding Max (v2 ¥469) 中间值    CNY 469   GLM 5.3 Flash               134.73      0.00514  high
28    OpenCode Go                        USD 10    DeepSeek V4.1 Flash         18.182      0.0055   medium
29    Command Code GOAT                  USD 10    Hy3                         17.873      0.0056   medium
30    GLM Coding Lite (v2 ¥49) 闲时      CNY 49    GLM 5.3 Flash               12.83       0.00563  high
31    GLM Coding Pro (v2 ¥149) 忙时      CNY 149   GLM 5.3 Flash               38.5        0.00571  high
32    Step Plan Mini (¥49)               CNY 49    Step 3.7 Flash              12.476      0.00579  medium
33    OpenCode Go                        USD 10    Hy3                         15.32       0.00653  medium
34    OpenCode Go                        USD 10    Qwen3.8 Flash               14.656      0.00682  medium
35    GLM Coding Lite (v2 ¥49) 中间值    CNY 49    GLM 5.3 Flash               9.62        0.00751  high
36    OpenCode Go                        USD 10    Omen Alpha                  13.155      0.0076   medium
37    GLM Coding Max (v2 ¥469) 忙时      CNY 469   GLM 5.3 Flash               89.82       0.0077   high
38    Command Code GOAT                  USD 10    MiMo V2.5 Pro               12.573      0.00795  medium
39    DeepSeek V4.1 Flash API 闲时       按量计费  DeepSeek V4.1 Flash         -           0.00825  high
40    Command Code GOAT                  USD 10    Qwen3.8 27B                 12.048      0.0083   medium
41    ChatGPT Pro 20x                    USD 200   GPT 5.6 Terra               240.24      0.00833  medium
42    Command Code GOAT                  USD 10    GLM 5.3 Flash               11.687      0.00856  medium
43    GLM Coding Pro (v2 ¥149) 闲时      CNY 149   GLM 5.3                     25.4        0.00865  high
44    GLM Coding Max (v3 ¥1078) 闲时     CNY 1078  GLM 5.3 Flash               179.65      0.00885  high
45    OpenCode Go                        USD 10    Qwen3.7 Plus                11.278      0.00887  medium
46    MiniMax Token Plan Ultra           CNY 469   MiniMax M3                  71          0.00974  high
47    MiniMax Token Plan Max             CNY 119   MiniMax M3                  18          0.00975  high
48    Cursor Ultra (Standard)            USD 200   Composer 2.5                198.926     0.01005  medium
49    GLM Coding Pro (v3 ¥538) 闲时      CNY 538   GLM 5.3 Flash               76.99       0.01031  high
50    Command Code GOAT                  USD 10    Qwen3.8 Flash               9.669       0.01034  medium
51    OpenCode Go                        USD 10    MiMo V2.5 Pro               9.415       0.01062  medium
52    MiniMax Token Plan Max (Global)    USD 55    MiniMax M3                  51          0.01078  high
53    GLM Coding Lite (v2 ¥49) 忙时      CNY 49    GLM 5.3 Flash               6.42        0.01126  high
54    Cursor Pro+ (Standard)             USD 60    Composer 2.5                53.047      0.01131  low
55    Command Code GOAT                  USD 10    Step 3.5 Flash              8.811       0.01135  medium
56    Ollama Pro                         USD 20    GLM 5.3 Flash               17.531      0.01141  medium
57    Ollama Max                         USD 100   GLM 5.3 Flash               87.655      0.01141  medium
58    OpenCode Go                        USD 10    MiniMax M3                  8.677       0.01152  medium
59    OpenCode Go                        USD 10    MiniMax M2.7                8.677       0.01152  medium
60    OpenCode Go                        USD 10    MiniMax M2.5                8.677       0.01152  medium
61    GLM Coding Pro (v2 ¥149) 中间值    CNY 149   GLM 5.3                     19.05       0.01154  high
62    OpenCode Go                        USD 10    Qwen3.6 Plus                8.571       0.01167  medium
63    GLM Coding Max (v2 ¥469) 闲时      CNY 469   GLM 5.3                     59.26       0.01168  high
64    GLM Coding Max (v3 ¥1078) 中间值   CNY 1078  GLM 5.3 Flash               134.73      0.0118   high
65    MiniMax Token Plan Plus            CNY 49    MiniMax M3                  6           0.01205  high
66    MiniMax Token Plan Plus            CNY 49    MiniMax M2.7                6           0.01205  medium
67    Claude Pro                         USD 20    Claude Opus 4.8             15.88       0.01259  medium
68    Claude Max 20x (9/14+)             USD 200   Claude Opus 5               157         0.01274  medium
69    Claude Max 5x (9/14+)              USD 100   Claude Opus 5               78.5        0.01274  medium
70    Claude Max 20x (9/14+)             USD 200   Claude Opus 4.8             157         0.01274  low
71    MiniMax Token Plan Plus (Global)   USD 22    MiniMax M3                  17          0.01294  high
72    MiniMax Token Plan Plus (Global)   USD 22    MiniMax M2.7                17          0.01294  medium
73    MiniMax Token Plan Ultra (Global)  USD 132   MiniMax M3                  98          0.01347  high
74    GLM Coding Lite (v3 ¥118) 闲时     CNY 118   GLM 5.3 Flash               12.83       0.01357  high
75    GLM Coding Pro (v3 ¥538) 中间值    CNY 538   GLM 5.3 Flash               57.74       0.01375  high
76    DeepSeek V4 Flash API 闲时         按量计费  DeepSeek V4 Flash           -           0.01386  high
77    Command Code GOAT                  USD 10    GPT 5.6 Luna                7.143       0.014    medium
78    Ollama Pro                         USD 20    DeepSeek V4 Pro             14.094      0.01419  medium
79    Ollama Max                         USD 100   DeepSeek V4 Pro             70.472      0.01419  medium
80    Command Code GOAT                  USD 10    MiniMax M3                  6.797       0.01471  medium
81    GLM Coding Max (v2 ¥469) 中间值    CNY 469   GLM 5.3                     44.45       0.01557  high
82    ChatGPT Pro 20x                    USD 200   GPT 5.6 Sol                 123.2       0.01623  high
83    DeepSeek V4.1 Flash API 忙时       按量计费  DeepSeek V4.1 Flash         -           0.0165   high
84    Cursor Pro (Standard)              USD 20    Composer 2.5                12.084      0.01655  medium
85    ChatGPT Plus                       USD 20    GPT 5.6 Terra               12.012      0.01665  medium
86    ChatGPT Pro 5x                     USD 100   GPT 5.6 Terra               60.06       0.01665  medium
87    GLM Coding Lite (v2 ¥49) 闲时      CNY 49    GLM 5.3                     4.23        0.01709  high
88    GLM Coding Pro (v2 ¥149) 忙时      CNY 149   GLM 5.3                     12.7        0.01731  high
89    GLM Coding Max (v3 ¥1078) 忙时     CNY 1078  GLM 5.3 Flash               89.82       0.01771  high
90    GLM Coding Lite (v3 ¥118) 中间值   CNY 118   GLM 5.3 Flash               9.62        0.0181   high
91    OpenCode Go                        USD 10    GPT 5.6 Luna                5.357       0.01867  medium
92    Kimi 会员 199 †                    CNY 199   Kimi K2.7 Code              15.68       0.01872  medium
93    Kimi 会员 199 †                    CNY 199   Kimi K3                     14.51       0.02023  medium
94    GLM Coding Pro (v3 ¥538) 忙时      CNY 538   GLM 5.3 Flash               38.5        0.02061  high
95    ChatGPT Pro 20x                    USD 200   GPT 5.5                     96.096      0.02081  medium
96    Command Code GOAT                  USD 10    DeepSeek V4 Pro             4.698       0.02129  medium
97    Kimi 会员 699 †                    CNY 699   Kimi K2.7 Code              47.04       0.02192  medium
98    OpenCode Go                        USD 10    Hy4 Preview                 4.436       0.02254  medium
99    GLM Coding Lite (v2 ¥49) 中间值    CNY 49    GLM 5.3                     3.17        0.0228   high
100   OpenCode Go                        USD 10    GLM 5.3 Flash               4.383       0.02282  medium
101   Ollama Pro                         USD 20    MiniMax M2.7                8.677       0.02305  medium
102   Ollama Max                         USD 100   MiniMax M2.7                43.384      0.02305  medium
103   GLM Coding Max (v2 ¥469) 忙时      CNY 469   GLM 5.3                     29.63       0.02335  high
104   Command Code GOAT                  USD 10    Step 3.7 Flash              4.226       0.02366  medium
105   Kimi 会员 699 †                    CNY 699   Kimi K3                     43.53       0.02369  medium
106   Cursor Ultra                       USD 200   Grok 4.6                    77.37       0.02585  medium
107   Cursor Ultra                       USD 200   Grok 4.5                    77.37       0.02585  medium
108   GLM Coding Max (v3 ¥1078) 闲时     CNY 1078  GLM 5.3                     59.26       0.02684  high
109   GLM Coding Lite (v3 ¥118) 忙时     CNY 118   GLM 5.3 Flash               6.42        0.02711  high
110   DeepSeek V4 Flash API 忙时         按量计费  DeepSeek V4 Flash           -           0.02773  high
111   Command Code GOAT                  USD 10    Qwen3.7 Plus                3.579       0.02794  medium
112   GPT-5.6 Luna API                   按量计费  GPT 5.6 Luna                -           0.028    high
113   Cursor Ultra (Composer Fast)       USD 200   Composer 2.5                70.587      0.02833  medium
114   OpenCode Go                        USD 10    DeepSeek V4 Pro             3.524       0.02838  medium
115   Cursor Pro+                        USD 60    Grok 4.6                    20.632      0.02908  medium
116   GLM Coding Pro (v3 ¥538) 闲时      CNY 538   GLM 5.3                     25.4        0.03125  high
117   OpenCode Go                        USD 10    Kimi K2.6                   3.151       0.03174  medium
118   Cursor Pro+ (Composer Fast)        USD 60    Composer 2.5                18.823      0.03188  low
119   ChatGPT Plus                       USD 20    GPT 5.6 Sol                 6.16        0.03247  medium
120   ChatGPT Pro 5x                     USD 100   GPT 5.6 Sol                 30.8        0.03247  medium
121   Command Code GOAT                  USD 10    Hy4 Preview                 2.957       0.03382  medium
122   GLM Coding Lite (v2 ¥49) 忙时      CNY 49    GLM 5.3                     2.12        0.0341   high
123   GLM Coding Max (v3 ¥1078) 中间值   CNY 1078  GLM 5.3                     44.45       0.03578  high
124   Command Code GOAT                  USD 10    Qwen3.6 Plus                2.779       0.03598  medium
125   OpenCode Go                        USD 10    Kimi K2.7 Code              2.731       0.03662  medium
126   Command Code GOAT                  USD 10    Kimi K2.7 Code              2.731       0.03662  medium
127   Command Code GOAT                  USD 10    DeepSeek V4 Flash Fast      2.624       0.03811  medium
128   GLM Coding Lite (v3 ¥118) 闲时     CNY 118   GLM 5.3                     4.23        0.04115  high
129   ChatGPT Plus                       USD 20    GPT 5.5                     4.805       0.04162  medium
130   ChatGPT Pro 5x                     USD 100   GPT 5.5                     24.024      0.04163  medium
131   GLM Coding Pro (v3 ¥538) 中间值    CNY 538   GLM 5.3                     19.05       0.04166  high
132   Cursor Pro                         USD 20    Grok 4.6                    4.7         0.04255  medium
133   DeepSeek V4 Pro API 闲时           按量计费  DeepSeek V4 Pro             -           0.04257  high
134   Command Code GOAT                  USD 10    GLM 5.2                     2.341       0.04272  medium
135   Ollama Pro                         USD 20    MiniMax M3                  4.338       0.0461   medium
136   Ollama Max                         USD 100   MiniMax M3                  21.692      0.0461   medium
137   Kimi 会员 99 †                     CNY 99    Kimi K2.7 Code              3.14        0.04651  medium
138   Cursor Pro (Composer Fast)         USD 20    Composer 2.5                4.288       0.04664  medium
139   SuperGrok Plus                     USD 100   Grok 4.6                    20.4        0.04902  medium
140   OpenCode Go                        USD 10    GLM 5.2                     2.007       0.04983  medium
