Effective token price | Subscriptions and APIs compared
Dollar/credit and API rates use 97.5% cache / 2.15% input / 0.35% output; direct total-token measurements are not normalized
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate.
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                Monthly fee    Served model                Monthly tokens (B)  USD/MTok  Confidence
---  ----------------------------------  -------------  --------------------------  ------------------  --------  ----------
1    Step Plan Max (¥699)                CNY 699        Step 3.5 Flash              251.731             0.00041   medium
2    Step Plan Pro (¥199)                CNY 199        Step 3.5 Flash              50.3461             0.00058   medium
3    OpenCode Go                         USD 10         Muse Spark 1.3 Contributor  12.5                0.0008    medium
4    OpenCode Go                         USD 10         Muse Spark 1.2 Contributor  12.5                0.0008    medium
5    Step Plan Max (¥699)                CNY 699        Step 3.7 Flash              124.756             0.00083   medium
6    OpenCode Go                         USD 10         MiMo V2.5                   8.9286              0.00112   medium
7    Step Plan Pro (¥199)                CNY 199        Step 3.7 Flash              24.9513             0.00118   medium
8    ChatGPT Pro 20x                     USD 200        GPT 5.6 Luna                150.222             0.00133   medium
9    Step Plan Plus (¥99)                CNY 99         Step 3.5 Flash              10.0692             0.00145   medium
10   Command Code GOAT                   USD 10         DeepSeek V4.1 Flash         4.8485              0.00206   medium
11   Command Code GOAT                   USD 10         MiMo V2.5                   4.4643              0.00224   medium
12   Command Code GOAT                   USD 10         Muse Spark 1.3 Contributor  4.1667              0.0024    medium
13   Command Code GOAT                   USD 10         Muse Spark 1.2 Contributor  4.1667              0.0024    medium
14   ChatGPT Plus                        USD 20         GPT 5.6 Luna                7.511               0.00266   high
15   ChatGPT Pro 5x                      USD 100        GPT 5.6 Luna                37.556              0.00266   medium
16   OpenCode Go                         USD 10         LongCat 2.0                 3.6364              0.00275   medium
17   GLM Coding Pro (v2 ¥149) Off-peak   CNY 149        GLM 5.3 Flash               7.699               0.00285   high
18   Step Plan Mini (¥49)                CNY 49         Step 3.5 Flash              2.5173              0.00287   medium
19   Step Plan Plus (¥99)                CNY 99         Step 3.7 Flash              4.9903              0.00293   medium
20   GLM Coding Pro (v2 ¥149) Midpoint   CNY 149        GLM 5.3 Flash               5.774               0.00381   high
21   GLM Coding Max (v2 ¥469) Off-peak   CNY 469        GLM 5.3 Flash               17.965              0.00385   high
22   Ollama Pro                          USD 20         DeepSeek V4 Flash           4.3274              0.00462   medium
23   Ollama Max                          USD 100        DeepSeek V4 Flash           21.6372             0.00462   medium
24   Claude Pro                          USD 20         Claude Sonnet 5             3.97                0.00504   medium
25   Claude Max 20x (9/14+)              USD 200        Claude Sonnet 5             39.25               0.0051    medium
26   Claude Max 5x (9/14+)               USD 100        Claude Sonnet 5             19.625              0.0051    low
27   GLM Coding Max (v2 ¥469) Midpoint   CNY 469        GLM 5.3 Flash               13.473              0.00514   high
28   OpenCode Go                         USD 10         DeepSeek V4.1 Flash         1.8182              0.0055    medium
29   Command Code GOAT                   USD 10         Hy3                         1.7873              0.0056    medium
30   GLM Coding Lite (v2 ¥49) Off-peak   CNY 49         GLM 5.3 Flash               1.283               0.00563   high
31   GLM Coding Pro (v2 ¥149) Peak       CNY 149        GLM 5.3 Flash               3.85                0.00571   high
32   Step Plan Mini (¥49)                CNY 49         Step 3.7 Flash              1.2476              0.00579   medium
33   OpenCode Go                         USD 10         Hy3                         1.532               0.00653   medium
34   OpenCode Go                         USD 10         Qwen3.8 Flash               1.4656              0.00682   medium
35   GLM Coding Lite (v2 ¥49) Midpoint   CNY 49         GLM 5.3 Flash               0.962               0.00751   high
36   OpenCode Go                         USD 10         Omen Alpha                  1.3155              0.0076    medium
37   GLM Coding Max (v2 ¥469) Peak       CNY 469        GLM 5.3 Flash               8.982               0.0077    high
38   Command Code GOAT                   USD 10         MiMo V2.5 Pro               1.2573              0.00795   medium
39   DeepSeek V4.1 Flash API Off-peak    Pay-as-you-go  DeepSeek V4.1 Flash         -                   0.00825   high
40   Command Code GOAT                   USD 10         Qwen3.8 27B                 1.2048              0.0083    medium
41   ChatGPT Pro 20x                     USD 200        GPT 5.6 Terra               24.024              0.00833   medium
42   Command Code GOAT                   USD 10         GLM 5.3 Flash               1.1687              0.00856   medium
43   GLM Coding Pro (v2 ¥149) Off-peak   CNY 149        GLM 5.3                     2.54                0.00865   high
44   GLM Coding Max (v3 ¥1078) Off-peak  CNY 1078       GLM 5.3 Flash               17.965              0.00885   high
45   OpenCode Go                         USD 10         Qwen3.7 Plus                1.1278              0.00887   medium
46   MiniMax Token Plan Ultra            CNY 469        MiniMax M3                  7.1                 0.00974   high
47   MiniMax Token Plan Max              CNY 119        MiniMax M3                  1.8                 0.00975   high
48   Cursor Ultra (Standard)             USD 200        Composer 2.5                19.8926             0.01005   medium
49   GLM Coding Pro (v3 ¥538) Off-peak   CNY 538        GLM 5.3 Flash               7.699               0.01031   high
50   Command Code GOAT                   USD 10         Qwen3.8 Flash               0.9669              0.01034   medium
51   OpenCode Go                         USD 10         MiMo V2.5 Pro               0.9415              0.01062   medium
52   MiniMax Token Plan Max (Global)     USD 55         MiniMax M3                  5.1                 0.01078   high
53   GLM Coding Lite (v2 ¥49) Peak       CNY 49         GLM 5.3 Flash               0.642               0.01126   high
54   Cursor Pro+ (Standard)              USD 60         Composer 2.5                5.3047              0.01131   low
55   Command Code GOAT                   USD 10         Step 3.5 Flash              0.8811              0.01135   medium
56   Ollama Pro                          USD 20         GLM 5.3 Flash               1.7531              0.01141   medium
57   Ollama Max                          USD 100        GLM 5.3 Flash               8.7655              0.01141   medium
58   OpenCode Go                         USD 10         MiniMax M3                  0.8677              0.01152   medium
59   OpenCode Go                         USD 10         MiniMax M2.7                0.8677              0.01152   medium
60   OpenCode Go                         USD 10         MiniMax M2.5                0.8677              0.01152   medium
61   GLM Coding Pro (v2 ¥149) Midpoint   CNY 149        GLM 5.3                     1.905               0.01154   high
62   OpenCode Go                         USD 10         Qwen3.6 Plus                0.8571              0.01167   medium
63   GLM Coding Max (v2 ¥469) Off-peak   CNY 469        GLM 5.3                     5.926               0.01168   high
64   GLM Coding Max (v3 ¥1078) Midpoint  CNY 1078       GLM 5.3 Flash               13.473              0.0118    high
65   MiniMax Token Plan Plus             CNY 49         MiniMax M3                  0.6                 0.01205   high
66   MiniMax Token Plan Plus             CNY 49         MiniMax M2.7                0.6                 0.01205   medium
67   Claude Pro                          USD 20         Claude Opus 4.8             1.588               0.01259   medium
68   Claude Max 20x (9/14+)              USD 200        Claude Opus 5               15.7                0.01274   medium
69   Claude Max 5x (9/14+)               USD 100        Claude Opus 5               7.85                0.01274   medium
70   Claude Max 20x (9/14+)              USD 200        Claude Opus 4.8             15.7                0.01274   low
71   MiniMax Token Plan Plus (Global)    USD 22         MiniMax M3                  1.7                 0.01294   high
72   MiniMax Token Plan Plus (Global)    USD 22         MiniMax M2.7                1.7                 0.01294   medium
73   MiniMax Token Plan Ultra (Global)   USD 132        MiniMax M3                  9.8                 0.01347   high
74   GLM Coding Lite (v3 ¥118) Off-peak  CNY 118        GLM 5.3 Flash               1.283               0.01357   high
75   GLM Coding Pro (v3 ¥538) Midpoint   CNY 538        GLM 5.3 Flash               5.774               0.01375   high
76   DeepSeek V4 Flash API Off-peak      Pay-as-you-go  DeepSeek V4 Flash           -                   0.01386   high
77   Command Code GOAT                   USD 10         GPT 5.6 Luna                0.7143              0.014     medium
78   Ollama Pro                          USD 20         DeepSeek V4 Pro             1.4094              0.01419   medium
79   Ollama Max                          USD 100        DeepSeek V4 Pro             7.0472              0.01419   medium
80   Command Code GOAT                   USD 10         MiniMax M3                  0.6797              0.01471   medium
81   GLM Coding Max (v2 ¥469) Midpoint   CNY 469        GLM 5.3                     4.445               0.01557   high
82   ChatGPT Pro 20x                     USD 200        GPT 5.6 Sol                 12.32               0.01623   high
83   DeepSeek V4.1 Flash API Peak        Pay-as-you-go  DeepSeek V4.1 Flash         -                   0.0165    high
84   Cursor Pro (Standard)               USD 20         Composer 2.5                1.2084              0.01655   medium
85   ChatGPT Plus                        USD 20         GPT 5.6 Terra               1.2012              0.01665   medium
86   ChatGPT Pro 5x                      USD 100        GPT 5.6 Terra               6.006               0.01665   medium
87   GLM Coding Lite (v2 ¥49) Off-peak   CNY 49         GLM 5.3                     0.423               0.01709   high
88   GLM Coding Pro (v2 ¥149) Peak       CNY 149        GLM 5.3                     1.27                0.01731   high
89   GLM Coding Max (v3 ¥1078) Peak      CNY 1078       GLM 5.3 Flash               8.982               0.01771   high
90   GLM Coding Lite (v3 ¥118) Midpoint  CNY 118        GLM 5.3 Flash               0.962               0.0181    high
91   OpenCode Go                         USD 10         GPT 5.6 Luna                0.5357              0.01867   medium
92   Kimi CN CNY 199 †                   CNY 199        Kimi K2.7 Code              1.568               0.01872   medium
93   Kimi CN CNY 199 †                   CNY 199        Kimi K3                     1.451               0.02023   medium
94   GLM Coding Pro (v3 ¥538) Peak       CNY 538        GLM 5.3 Flash               3.85                0.02061   high
95   ChatGPT Pro 20x                     USD 200        GPT 5.5                     9.6096              0.02081   medium
96   Command Code GOAT                   USD 10         DeepSeek V4 Pro             0.4698              0.02129   medium
97   Kimi CN CNY 699 †                   CNY 699        Kimi K2.7 Code              4.704               0.02192   medium
98   OpenCode Go                         USD 10         Hy4 Preview                 0.4436              0.02254   medium
99   GLM Coding Lite (v2 ¥49) Midpoint   CNY 49         GLM 5.3                     0.317               0.0228    high
100  OpenCode Go                         USD 10         GLM 5.3 Flash               0.4383              0.02282   medium
101  Ollama Pro                          USD 20         MiniMax M2.7                0.8677              0.02305   medium
102  Ollama Max                          USD 100        MiniMax M2.7                4.3384              0.02305   medium
103  GLM Coding Max (v2 ¥469) Peak       CNY 469        GLM 5.3                     2.963               0.02335   high
104  Command Code GOAT                   USD 10         Step 3.7 Flash              0.4226              0.02366   medium
105  Kimi CN CNY 699 †                   CNY 699        Kimi K3                     4.353               0.02369   medium
106  Cursor Ultra                        USD 200        Grok 4.6                    7.737               0.02585   medium
107  Cursor Ultra                        USD 200        Grok 4.5                    7.737               0.02585   medium
108  GLM Coding Max (v3 ¥1078) Off-peak  CNY 1078       GLM 5.3                     5.926               0.02684   high
109  GLM Coding Lite (v3 ¥118) Peak      CNY 118        GLM 5.3 Flash               0.642               0.02711   high
110  DeepSeek V4 Flash API Peak          Pay-as-you-go  DeepSeek V4 Flash           -                   0.02773   high
111  Command Code GOAT                   USD 10         Qwen3.7 Plus                0.3579              0.02794   medium
112  GPT-5.6 Luna API                    Pay-as-you-go  GPT 5.6 Luna                -                   0.028     high
113  Cursor Ultra (Composer Fast)        USD 200        Composer 2.5                7.0587              0.02833   medium
114  OpenCode Go                         USD 10         DeepSeek V4 Pro             0.3524              0.02838   medium
115  Cursor Pro+                         USD 60         Grok 4.6                    2.0632              0.02908   medium
116  GLM Coding Pro (v3 ¥538) Off-peak   CNY 538        GLM 5.3                     2.54                0.03125   high
117  OpenCode Go                         USD 10         Kimi K2.6                   0.3151              0.03174   medium
118  Cursor Pro+ (Composer Fast)         USD 60         Composer 2.5                1.8823              0.03188   low
119  ChatGPT Plus                        USD 20         GPT 5.6 Sol                 0.616               0.03247   medium
120  ChatGPT Pro 5x                      USD 100        GPT 5.6 Sol                 3.08                0.03247   medium
121  Command Code GOAT                   USD 10         Hy4 Preview                 0.2957              0.03382   medium
122  GLM Coding Lite (v2 ¥49) Peak       CNY 49         GLM 5.3                     0.212               0.0341    high
123  GLM Coding Max (v3 ¥1078) Midpoint  CNY 1078       GLM 5.3                     4.445               0.03578   high
124  Command Code GOAT                   USD 10         Qwen3.6 Plus                0.2779              0.03598   medium
125  OpenCode Go                         USD 10         Kimi K2.7 Code              0.2731              0.03662   medium
126  Command Code GOAT                   USD 10         Kimi K2.7 Code              0.2731              0.03662   medium
127  Command Code GOAT                   USD 10         DeepSeek V4 Flash Fast      0.2624              0.03811   medium
128  GLM Coding Lite (v3 ¥118) Off-peak  CNY 118        GLM 5.3                     0.423               0.04115   high
129  ChatGPT Plus                        USD 20         GPT 5.5                     0.4805              0.04162   medium
130  ChatGPT Pro 5x                      USD 100        GPT 5.5                     2.4024              0.04163   medium
131  GLM Coding Pro (v3 ¥538) Midpoint   CNY 538        GLM 5.3                     1.905               0.04166   high
132  Cursor Pro                          USD 20         Grok 4.6                    0.47                0.04255   medium
133  DeepSeek V4 Pro API Off-peak        Pay-as-you-go  DeepSeek V4 Pro             -                   0.04257   high
134  Command Code GOAT                   USD 10         GLM 5.2                     0.2341              0.04272   medium
135  Ollama Pro                          USD 20         MiniMax M3                  0.4338              0.0461    medium
136  Ollama Max                          USD 100        MiniMax M3                  2.1692              0.0461    medium
